videoId,updateAt,authorId,cmt,label
N0VOGhhDWpc,2022-10-02 04:45:35,UCrG4a75fLRThzaQTpZOkYeA,Sớm ạ like đầu coi đầu nữa ạ,0
N0VOGhhDWpc,2022-10-02 04:49:00,UCD_b62WBBJWMadz11ilU8QQ,bài nãy hát phòng trà thì đỉnh,2
N0VOGhhDWpc,2022-10-02 04:49:36,UCUMhuJbreXam5oM_CwGOLJw,Hay quá anh ơiii,2
N0VOGhhDWpc,2022-10-02 05:00:01,UCOpCiAhqWfnGVMyFDhn9xiA,hay quá,2
N0VOGhhDWpc,2022-10-02 05:00:08,UCRDs-kCuEzMdAJPEnRx6d2g,"Từ ngày nghe full tập 2 xong cứ bị bấn loạn bởi bài này, ca sĩ mình thích cover lại bài của ca sĩ mình thích. Mùa hai này nghe bài nào của anh Nhân cũng thích cả <3",0
N0VOGhhDWpc,2022-10-02 05:02:17,UCMlnMi1CWRJITeq4-4Z9G1A,Sáng nay mưa về Quán thưa người vắng Ngỡ như đêm qua vẫn còn một giọt sương khuya héo hắt Sáng nay mưa về Có một người khóc Quán xưa đã thôi không còn bài ca mang bao yêu thương Người đã đi rồi Quán buồn thấm sâu cõi lòng Nỗi buồn len lén tâm hồn Có lúc như mây mây trôi xa xôi Rồi như gió gió đem mưa về rã rời Quán buồn chỉ dăm ba người (quán buồn tênh) Nỗi buồn như cả mây trời Tiếng hát ai nghe buốt giá tim tôi Và tôi đã nghẹn ngào nước mắt ngắm mưa vẫn rơi bên song Dù đã cố quên đi những ngày hồng Sáng nay mưa về Quán thưa người vắng Ngỡ như đêm qua vẫn còn một nụ hôn khuya bỡ ngỡ Sáng nay mưa về Có một người khóc Quán xưa đã thôi không còn mùi dạ hương trong gió thoảng Người đã đi rồi Quán buồn thấm sâu cõi lòng Nỗi buồn len lén tâm hồn Có lúc như mây mây trôi xa xôi Rồi như gió gió đem mưa về rã rời Quán buồn chỉ dăm ba người (quán buồn tênh) Nỗi buồn như cả mây trời Tiếng hát ai nghe buốt giá tim tôi Và tôi đã nghẹn ngào nước mắt ngắm mưa vẫn rơi bên song Dù đã cố quên đi những ngày hồng Huh huh Quán buồn thấm sâu cõi lòng Nỗi buồn len lén tâm hồn Có lúc như mây mây trôi xa xôi Rồi như gió gió đem mưa về rã rời Quán buồn chỉ dăm ba người Nỗi buồn như cả mây trời Tiếng hát ai nghe buốt giá tim tôi Và tôi đã nghẹn ngào nước mắt ngắm mưa vẫn rơi bên song Dù đã cố quên đi những ngày hồng Huh tutu Quán buồn thấm sâu cõi lòng Nỗi buồn len lén tâm hồn Có lúc như mây mây trôi xa xôi Rồi như gió gió đem mưa về rã rời Quán buồn chỉ dăm ba người Nỗi buồn như cả mây trời Tiếng hát ai nghe buốt giá tim tôi Và tôi đã nghẹn ngào nước mắt ngắm mưa vẫn rơi Huh Tiếng hát ai nghe buốt giá tim tôi Và tôi đã nghẹn ngào nước mắt Chuh,0
N0VOGhhDWpc,2022-10-02 05:05:29,UC-zngF3aIbJiPams5ZbjXNA,Len lén on top thôi 😀,0
N0VOGhhDWpc,2022-10-02 05:10:09,UCWEXE6Bn1NQVmvOBupN1YBg,"Trời ơi má ơi, siêu phẩm tập 2 mà t đợi mãi bản cut đây rồiiiiu",1
N0VOGhhDWpc,2022-10-02 05:10:16,UCaQphnSS-ILetKvZYF49vaQ,"Bài này buồn quá. Quán buồn chỉ dăm ba người, nỗi buồn như cả mây trời 🥲",1
N0VOGhhDWpc,2022-10-02 05:12:54,UC-k0z5XjTJcxHQKF9nucTyA,Hay tuỵt zời chòi oiiii,1
N0VOGhhDWpc,2022-10-02 05:27:19,UC9nelUvHAeu9vM9MAxURWKw,Trời ơi.nghe nhân hát mà siêu lòng.biet đến bao giờ mí đc nghe nhân hát live đây.mãi yêu giọng hát của nhân ❤️❤️❤️❤️,0
N0VOGhhDWpc,2022-10-02 05:32:20,UCTOWyiIkPEqyh_2O-ArJR5w,"🎬 FULL TẬP 2 Xuân Hạ Thu Đông, rồi lại Xuân mùa 2: https://youtu.be/P0rwK_smjO8",1
N0VOGhhDWpc,2022-10-02 05:36:52,UCM8n_Vorn5CtWJYzkCBAA7w,Chờ mãi bản cut này từ qua đến giờ Xuân 2 ơi. 2 tập đầu không bài nào của anh Nhân mà mình ko mê cả. Thích kiểu hát mộc này ghê gớm. Mong chờ những tập tiếp theo ạ 😍😍😍,1
N0VOGhhDWpc,2022-10-02 05:41:29,UCn1V3wwBaVHSt-6aNwHL-_Q,Trúc Nhân hát hay và cảm xúc quá,1
N0VOGhhDWpc,2022-10-02 05:50:57,UCbwSdtnFzUcpFPkdgywDrKA,❤❤❤,2
N0VOGhhDWpc,2022-10-02 05:55:03,UCLFZMlAVRFXOdJ8PXTG5Vtw,Thích giọng TN ghê,2
N0VOGhhDWpc,2022-10-02 05:56:11,UCWEXE6Bn1NQVmvOBupN1YBg,Hát chữ nào dội ầm ầm vào lòng chữ đó luôn 🥺,1
N0VOGhhDWpc,2022-10-02 06:11:41,UC1qwBN7TRHfgj6kOI0Rb0Lg,Bài hát này hay quá trời ơi cha mẹ ơi,2
N0VOGhhDWpc,2022-10-02 06:17:27,UCPaTqaw0NzByiRJoFZnBIUQ,"Nhờ anh Nhân mà biết thêm được một bài hay, anh hát hay quá anh ơi!!! Vừa hát hai câu đầu em đã thấy được nỗi đau lúc đấy của anh.....",1
N0VOGhhDWpc,2022-10-02 06:21:18,UCZMIz1ludTRbhkO24sLmNfQ,Gọi kỹ thuật của Trúc Nhân là cái ghế :)  Vì nó không phải bàn :)),2
N0VOGhhDWpc,2022-10-02 06:35:50,UCzP76An7fnllxB16YryxXhg,Mê quá,2
N0VOGhhDWpc,2022-10-02 06:40:16,UCWEXE6Bn1NQVmvOBupN1YBg,Tuần sau đi nghe anh hát 💕 hihi,1
N0VOGhhDWpc,2022-10-02 06:41:42,UCb03nZG_baaebnK7FiXtsFQ,window pane,2
